id,user,text,created_at_in_seconds,created_at,retweeted,favorite_count,hashtags,urls
1097846281857310720,Fearnecotton,Completely addicted to The Clinton Affair. Not sure how I ll wait until Sunday for the next episode ,1550581925,Tue Feb 19 13:12:05 +0000 2019,False,69,,
1096707368480575489,Fearnecotton,Thank you rustyrockets for having me on Under the Skin. I loved having this chat with you https://t.co/sZ7IsWDaxR,1550310387,Sat Feb 16 09:46:27 +0000 2019,False,322,,https://t.co/sZ7IsWDaxR
1096455127836385281,Fearnecotton, henryfraser0 Henry you are bloody incredible Love to you always. Xx,1550250248,Fri Feb 15 17:04:08 +0000 2019,False,15,,
1096455050321453056,Fearnecotton,RT henryfraser0: It may seem like it has taken a long time and not much progress has been made but to me it is progress and progress no m ,1550250229,Fri Feb 15 17:03:49 +0000 2019,False,0,,
1096011038087147520,Fearnecotton,Voice overing https://t.co/ItDtQW4wko,1550144369,Thu Feb 14 11:39:29 +0000 2019,False,155,,
1096010933518979072,Fearnecotton,Biscuits always https://t.co/uLwKKjgc6Q,1550144344,Thu Feb 14 11:39:04 +0000 2019,False,84,,
1096010866363977729,Fearnecotton, https://t.co/zWfMi0Ifk5,1550144328,Thu Feb 14 11:38:48 +0000 2019,False,871,,
1095615097710481409,Fearnecotton,RT rustyrockets: This week s guest on the UnderTheSkin podcast is Fearnecotton You can listen to it this Saturday 16th Feb on whatever ,1550049969,Wed Feb 13 09:26:09 +0000 2019,False,0,UnderTheSkin,
1095614976033726465,Fearnecotton,RT emmafreud: So these 2 tiny legends are attempting The Longest Ever comicrelief Danceathon on BBCRadio2 this time you can take part ,1550049940,Wed Feb 13 09:25:40 +0000 2019,False,0,,
1094872984798593025,Fearnecotton, ad Listen here https://t.co/SZrhYqCjSa On this weeks HappyPlace I chat to chessieking who is a fiit trainer https://t.co/tQLWDhAlQT,1549873035,Mon Feb 11 08:17:15 +0000 2019,False,79,ad||HappyPlace,https://t.co/SZrhYqCjSa||https://t.co/tQLWDhAlQT
1094502028896813056,Fearnecotton,Tomorrow is the last episode of series two of Happy Place the podcast. What s been your favourite so far It s so h https://t.co/eHjax0qgs8,1549784593,Sun Feb 10 07:43:13 +0000 2019,False,765,,https://t.co/eHjax0qgs8
1094501424430493696,Fearnecotton,Hooked https://t.co/gZbSubapur,1549784449,Sun Feb 10 07:40:49 +0000 2019,False,45,,https://t.co/gZbSubapur
1094265043972169728,Fearnecotton,Utter bullshit. My marriage is wonderful and also perfectly normal which involves the odd argument. The actual arti https://t.co/VKc0UCMEfd,1549728091,Sat Feb 09 16:01:31 +0000 2019,False,10716,,https://t.co/VKc0UCMEfd
1094151468247117824,Fearnecotton,Loved this https://t.co/Ezzqf47psc,1549701013,Sat Feb 09 08:30:13 +0000 2019,False,81,,https://t.co/Ezzqf47psc
1093559841191329793,Fearnecotton,Listen to the full episide here https://t.co/Cl28NgnPBM Thank you Grace for telling your story on this weeks Happ https://t.co/S4Mt4JxObR,1549559958,Thu Feb 07 17:19:18 +0000 2019,False,38,,https://t.co/Cl28NgnPBM||https://t.co/S4Mt4JxObR
1093542732340101120,Fearnecotton,Have you listened to this weeks Happy Place with the incredible Grace from the PrincesTrust The end of this ep https://t.co/Y2oityEIhN,1549555879,Thu Feb 07 16:11:19 +0000 2019,False,103,,https://t.co/Y2oityEIhN
1093236210124902403,Fearnecotton,To all the eco warriers out there. If you work on fighting plastic solutions check out the 75 000USD TKF Plastics https://t.co/sd8vVqIBah,1549482798,Wed Feb 06 19:53:18 +0000 2019,False,56,,https://t.co/sd8vVqIBah
1092501043118858245,Fearnecotton,The colour experts at DuluxUK are embracing the power of positivity with the Colour of the Year 2019 SpicedHoney https://t.co/5Rmd8dEKwx,1549307521,Mon Feb 04 19:12:01 +0000 2019,False,191,SpicedHoney,https://t.co/5Rmd8dEKwx
1092418886694256640,Fearnecotton,RT PrincesTrust: We re so excited to announce Fearnecotton s new role Say to our new Prince s Trust Goodwill Ambassador Fearne will ,1549287933,Mon Feb 04 13:45:33 +0000 2019,False,0,,
1092346716945297408,Fearnecotton,I m extremely grateful of my new role as a PrincesTrust Goodwill Ambassador focusing on young people s wellbeing a https://t.co/YIFuPFAhTN,1549270726,Mon Feb 04 08:58:46 +0000 2019,False,309,,https://t.co/YIFuPFAhTN
1092091423153967104,Fearnecotton,Just behind Ian Brown in the supermarket. He was buying coconut milk. What s not to love. As usual I bottled saying hello coconuts,1549209860,Sun Feb 03 16:04:20 +0000 2019,False,1064,coconuts,
1091622921230008320,Fearnecotton,We watched the McQueen documentary last night and found it breathtaking and heart wrenchibv. A pure genius at work https://t.co/zh2SdpVvYP,1549098160,Sat Feb 02 09:02:40 +0000 2019,False,520,,https://t.co/zh2SdpVvYP
1091307591681171456,Fearnecotton,Listen to the full episode here https://t.co/lL9MROcQaq Oh thisisdavina thank you for your honesty and wisdom. Th https://t.co/0BXpYXssP4,1549022980,Fri Feb 01 12:09:40 +0000 2019,False,187,,https://t.co/lL9MROcQaq||https://t.co/0BXpYXssP4
1091047608267755521,Fearnecotton,Yet these days I m much better at speeding up the time wasted ruminating on it all. I m glad that I can talk myself https://t.co/BTibrscw3K,1548960995,Thu Jan 31 18:56:35 +0000 2019,False,756,,https://t.co/BTibrscw3K
1091047331569565698,Fearnecotton,I found myself in one of my usual cycles today. A diverse and interesting day of work left me feeling full of self https://t.co/z6tmXr57Ec,1548960929,Thu Jan 31 18:55:29 +0000 2019,False,2927,,https://t.co/z6tmXr57Ec
1090628731629195264,Fearnecotton,Yes to this song https://t.co/a1XQwcor77,1548861127,Wed Jan 30 15:12:07 +0000 2019,False,77,,https://t.co/a1XQwcor77
